Jname,P0 (ms),DM,Offset,obs freq,S/N,incoh/coh,flux,,subband,startcchan,stopcchan,Obsid,,,
J1731-4744,,,,185,,incoh,273.68,,1,133,156,1091793216,incoh,incoh but strong,MX.2017
J1751-4657,,,,185,,incoh,270.37,,1,133,156,1091793216,incoh,incoh but strong,MX.2017
J1921+2153,,,,185,,incoh,1251.57,,1,133,156,1095506112,incoh,incoh but strong,MX.2017
J1932+1059,,,,185,,incoh,204.65,,1,133,156,1095506112,incoh,incoh but strong,MX.2017
J1935+1616,,,,185,,incoh,82.03,,1,133,156,1095506112,incoh,incoh but strong,MX.2017
J2046-0421,,,,185,,incoh,25.26,,1,133,156,1097404000,incoh,maybe need coh,MX.2017
J1752-2806,,,,185,,incoh,1112.56,,1,133,156,1107478712,incoh,incoh but strong,MX.2017
J1645-0317,,,,185,,incoh,1365.25,,1,133,156,1116090392,incoh,incoh but strong,MX.2017
J1709-1640,,,,185,,incoh,106.27,,1,133,156,1116090392,incoh,incoh but strong,MX.2017
J1820-0427,,,,185,,incoh,,,1,133,156,1276619416,incoh,incoh but strong,MX.2017
J1825-0935,,,,185,,incoh,151.51,,1,133,156,1116090392,incoh,incoh but strong,MX.2017
J1902-5105,,,,185,,incoh,128.35,,1,133,156,1116787952,incoh,incoh but OK,MX.2017
J1607-0032,,,,185,,incoh,333.43,,1,133,156,1117899328,incoh,incoh but OK,MX.2017
J1544-5308,,,,185,,incoh,31.48,,1,133,156,1121173352,incoh,maybe need coh,MX.2017
J2219+4754,,,,185,,incoh,0,,1,133,156,1129464688,incoh,incoh very north one,
J2018+2839,,,,185,,incoh,329.91,,1,133,156,1131957328,incoh,incoh but strong,MX.2017
J2022+2854,,,,185,,incoh,95.67,,1,133,156,1131957328,incoh,maybe need coh,MX.2017
J1823-3106,,,,185,,incoh,117.55,,1,133,156,1133329792,incoh,incoh but OK,MX.2017
J1900-2600,,,,185,,incoh,209.72,,1,133,156,1133329792,incoh,incoh but strong,MX.2017
J0823+0159,,,,185,,incoh,20.68,,1,133,156,1139324488,incoh,incoh but OK,MX.2017
J1141-3107,,,,185,,incoh,3.63,,1,133,156,1145367872,incoh,maybe need coh,
J1909+1102,,,,185,,,80.85,,1,133,156,1148063920,,,
J1916+0951,,,,185,,,27.09,,1,133,156,1148063920,,,
J1917+1353,,,,185,,,124.68,,1,133,156,1148063920,,,
J1921+1948,,,,185,,,21.27,,1,133,156,1148063920,,,
J1922+2110,,,,185,,,36.09,,1,133,156,1148063920,,,
J1939+2134,,,,185,,,0,,1,133,156,1148063920,,,
J1946+1805,,,,185,,,27.66,,1,133,156,1148063920,,,
J2053-7200,,,,185,,,54.89,,1,133,156,1148063920,,,
J1555-2341,,,,185,,,0,,1,133,156,1148652032,,,
J1913-0440,,,,185,,,640.65,,1,133,156,1150045776,,,
J2346-0609,,,,185,,,24.9,,1,133,156,1150234552,,,
J1943-1237,,,,185,,incoh,78.35,,1,133,156,1152636328,incoh,incoh but OK,MX.2017
J0725-1635,,,,155,,,10.31,,1,109,132,1165080856,,,MX
J0726-2612,,,,155,,,1.38,,1,109,132,1166459712,,,MX
J1001-5507,,,,185,,incoh,15.78,,1,133,156,1173020416,incoh,incoh but OK,MX
J1711-5350,,,,185,,incoh,0,,1,133,156,1185884600,incoh,incoh but OK,MX
J2256-1024,,,,155,,,37.8,,1,109,132,1222697776,,,
J2253+1516,,,,155,,,8.63,,1,109,132,1223042480,,,
J0407+1607,,,,155,,,6.41,,1,109,132,1254594264,,,Keegan
J1735-0724,,,,185,,,25.52,,1,133,156,1275758864,,,
J1741-0840,,,,185,,,17.48,,1,133,156,1275758864,,,
J1743-1351,,,,185,,,0,,1,133,156,1275758864,,,
J1748-1300,,,,185,,,21.63,,1,133,156,1275758864,,,
J1801-0357,,,,185,,,26.3,,1,133,156,1275758864,,,
J1807-0847,,,,185,,,11.85,,1,133,156,1275758864,,,
J1819-1318,,,,185,,,25.15,,1,133,156,1275758864,,,
J1823+0550,,,,185,,,136.19,,1,133,156,1275758864,,,
J1833-0338,,,,185,,,0,,1,133,156,1275758864,,,
J1834-0010,,,,185,,,15.94,,1,133,156,1275758864,,,
J1834-0426,,,,185,,,81.79,,1,133,156,1275758864,,,
J1839-0627,,,,185,,,18.47,,1,133,156,1275758864,,,
J1847-0402,,,,185,,,17.86,,1,133,156,1275758864,,,
J1849-0636,,,,185,,,22.76,,1,133,156,1275758864,,,
J1851-0053,,,,185,,,23.01,,1,133,156,1275758864,,,
J1901+0156,,,,185,,,0,,1,133,156,1275758864,,,
J1910-0112,,,,185,,,0,,1,133,156,1275758864,,,
J1910-0309,,,,185,,,43.36,,1,133,156,1275758864,,,
J1820-0427,,,,185,,,797.88,,1,133,156,1276619416,,,